trial,N,n,p,K,plsi_err,plsi_acc,splsi_err,splsi_acc,slda_err,slda_acc,plsi_time,splsi_time,slda_time,spatial_lambd,seed,regens,splsi_iters
18,30,1000,50,3,13.178607846381626,0.798,7.533455657249031,0.941,17.757066625245415,0.566,0.0226871967315673,44.44478631019592,86.89771485328674,0.0164313809438748,,,
19,30,1000,50,3,11.256497761321478,0.774,5.692654072606406,0.9,16.321911094186163,0.549,0.0227844715118408,45.902153730392456,87.36001253128052,0.022182364274231,,,
20,30,1000,50,3,11.517873363235053,0.777,5.156119903899012,0.914,17.507766254174193,0.484,0.0229852199554443,50.52445006370544,86.67155337333679,0.022182364274231,,,
21,30,1000,50,3,14.541764533350111,0.753,6.197300435518263,0.934,17.983416368985942,0.493,0.0225691795349121,59.91447162628174,87.52552556991577,0.022182364274231,,,
22,30,1000,50,3,10.495052109567489,0.785,5.454141833740193,0.874,18.133764576855437,0.414,0.02286958694458,68.48320889472961,86.95568037033081,0.0164313809438748,,,
23,30,1000,50,3,11.23542853078212,0.864,5.992827203790829,0.968,18.077500184142227,0.473,0.022404670715332,61.77576041221619,87.29892754554749,0.022182364274231,,,
24,30,1000,50,3,13.941376983899566,0.63,7.644578581480281,0.907,16.703937688700496,0.42,0.0226294994354248,93.59264612197876,86.99776887893677,0.0164313809438748,,,
25,30,1000,50,3,10.94221829464767,0.714,5.788477661855323,0.805,16.565552309228117,0.407,0.0224571228027343,58.90023422241211,87.24160599708557,0.0164313809438748,,,
26,30,1000,50,3,13.272751486008152,0.723,5.552643556224029,0.948,17.229996654094403,0.475,0.0228486061096191,72.267751455307,86.61623239517212,0.022182364274231,,,
27,30,1000,50,3,17.208570785275388,0.456,5.739400416077305,0.816,18.677728010257233,0.383,0.0226819515228271,62.716660261154175,87.28708457946777,0.0164313809438748,,,
28,30,1000,50,3,11.41085785567348,0.757,5.116969938811306,0.918,15.769171899418918,0.547,0.0227482318878173,63.189115047454834,86.80411744117737,0.0299461917702118,,,
29,30,1000,50,3,12.244392117328657,0.768,6.303024368959189,0.922,16.06085958611655,0.588,0.0226416587829589,59.02133631706238,87.84482550621033,0.0164313809438748,,,
30,30,1000,50,3,10.688060477610271,0.788,5.185749811282638,0.9,15.543259698407926,0.624,0.0225162506103515,88.61100912094116,87.13310813903809,0.022182364274231,,,
31,30,1000,50,3,11.80510454790899,0.76,6.092001058400098,0.907,18.338080797207063,0.394,0.0228173732757568,74.0456211566925,87.52233052253723,0.0164313809438748,,,
32,30,1000,50,3,12.248836114936204,0.8,6.699369665469399,0.943,16.53514130518528,0.605,0.0226709842681884,80.29002642631531,86.75156569480896,0.0164313809438748,,,
33,30,1000,50,3,15.687342065337992,0.607,5.667117747203967,0.901,17.26494142178015,0.531,0.0225944519042968,57.46235966682434,87.01489305496216,0.022182364274231,,,
34,30,1000,50,3,13.953756450791785,0.665,5.8409904125831,0.924,16.32665454760263,0.563,0.0222551822662353,83.84287190437317,86.71987462043762,0.0164313809438748,,,
35,30,1000,50,3,11.525324459660856,0.795,5.549734241055395,0.902,17.986142487421702,0.393,0.0223731994628906,58.707709074020386,86.9642858505249,0.022182364274231,,,
36,30,1000,50,3,10.07399826949888,0.762,5.246115205227867,0.877,16.20371833454187,0.401,0.0226883888244628,38.39555239677429,86.77692747116089,0.022182364274231,,,
37,30,1000,50,3,10.330384454475766,0.727,5.397497669165072,0.805,15.791342096699392,0.368,0.0227382183074951,61.332892417907715,86.8414466381073,0.0164313809438748,,,
38,30,1000,50,3,11.5287892966851,0.767,5.655072111014587,0.794,16.037736747036732,0.56,0.0223197937011718,79.7213683128357,88.26824617385864,0.022182364274231,,,
39,30,1000,50,3,10.821877376690244,0.777,4.704574720279064,0.898,18.860341309263017,0.422,0.023029088973999,43.16333317756653,87.38299250602722,0.022182364274231,,,
40,30,1000,50,3,14.855873034524084,0.645,5.553218097800936,0.856,19.187128121075336,0.412,0.0219810009002685,63.378826379776,86.63075304031372,0.022182364274231,,,
41,30,1000,50,3,12.72302727369203,0.751,5.723941110797485,0.913,16.726370828272866,0.511,0.0228044986724853,108.1628086566925,86.47097706794739,0.022182364274231,,,
42,30,1000,50,3,10.744599247732625,0.863,4.933090624806048,0.951,17.9818561907515,0.445,0.0223424434661865,51.7655303478241,86.95897698402405,0.0164313809438748,,,
43,30,1000,50,3,13.104267805146709,0.774,5.8217680108695955,0.954,18.45668020150207,0.465,0.0228571891784667,47.136757373809814,86.02231431007385,0.022182364274231,,,
