seed,N,n,p,K,r,m,phi,spatial_svd_time,spatial_svd_err,spatial_svd_acc,vanilla_svd_time,vanilla_svd_err,vanilla_svd_acc
355,30,1000,10,3,0.05,5,0.1,998.329001814127,11.467470911304334,0.888,3.4409373998641968,11.116556637427877,0.753
384,50,1000,30,3,0.05,5,0.1,900.3906725309789,9.924988543487546,0.962,3.5665250904858112,9.095239336581466,0.927
91,50,1000,50,3,0.05,5,0.1,925.8055229852908,9.335643854777038,0.966,3.3427193430252373,10.926299758299292,0.881
55,200,1000,30,3,0.05,5,0.1,623.6557095050812,9.756134435603132,0.966,3.606154290959239,5.88679930958411,0.998
85,100,1000,30,3,0.05,5,0.1,1110.2091804249212,9.993384557747762,0.978,3.2686069780029356,7.033071306004326,0.97
312,50,1000,10,3,0.05,5,0.1,647.910284049809,9.405611247541884,0.964,3.739851590245962,9.134932496161827,0.982
5,200,1000,30,3,0.05,5,0.1,581.2887314097025,9.532876252953384,0.963,3.2678926051594317,7.639970757530082,0.997
97,100,1000,10,3,0.05,5,0.1,499.699632616248,12.330428324229691,0.973,3.5243841162882745,5.860069515291767,0.826
47,200,1000,10,3,0.05,5,0.1,496.3121174899861,6.6420306572528105,0.974,3.629459460731596,6.022599626208165,0.998
64,100,1000,50,3,0.05,5,0.1,850.4508686438203,10.405723897735678,0.97,3.301258383784443,7.94042238484279,0.962
368,50,1000,10,3,0.05,5,0.1,495.25993141904473,8.917513715650486,0.98,3.3952866680920124,8.101001878992433,0.982
305,10,1000,10,3,0.05,5,0.1,624.3658195696771,6.994490779022662,0.97,3.1124702841043472,13.60985508072911,0.889
37,200,1000,50,3,0.05,5,0.1,800.346942559816,13.800057707482498,0.955,3.266284022014588,7.246795427484296,0.785
14,100,1000,10,3,0.05,5,0.1,517.3963062250987,10.134903817984306,0.952,3.080319283064455,7.695336744341252,0.998
86,10,1000,50,3,0.05,5,0.1,2277.88085392816,7.569332199465946,0.925,3.4789637979120016,18.340457858434227,0.324
99,30,1000,50,3,0.05,5,0.1,1395.877047649119,10.982765080868468,0.952,3.367145538330078,11.850516574270427,0.622
393,10,1000,30,3,0.05,5,0.1,2904.9622153937817,11.165883042350602,0.935,3.2935870066285133,16.114059617996592,0.475
88,10,1000,50,3,0.05,5,0.1,5096.380058358889,14.02309260546271,0.259,3.2927612299099565,12.628925175128511,0.358
382,30,1000,30,3,0.05,5,0.1,1285.554850898683,13.4188308199237,0.939,3.3311061449348927,12.28669596239738,0.672
353,50,1000,10,3,0.05,5,0.1,512.1181886941195,8.79231523260407,0.942,3.2650527469813824,6.981021897653162,0.998
314,30,1000,10,3,0.05,5,0.1,757.5949928797781,15.28308073529373,0.974,3.2271535582840443,9.305834886400651,0.842
25,100,1000,50,3,0.05,5,0.1,654.8757850569673,7.966884412457897,0.956,3.4972183317877352,8.945177440982773,0.998
97,30,1000,50,3,0.05,5,0.1,1333.6097749117762,8.93593982163032,0.971,3.8704762659035623,14.604542005122966,0.461
321,30,1000,10,3,0.05,5,0.1,4276.411238323897,10.14661396833049,0.899,3.4560542590916157,13.692093630621889,0.43
366,50,1000,10,3,0.05,5,0.1,545.298867624253,10.841973300828236,0.952,3.233287565410137,7.679685690095384,0.949
55,100,1000,10,3,0.05,5,0.1,486.488726306241,10.360677080397046,0.962,3.1128788529895246,6.408466779428024,0.998
85,200,1000,10,3,0.05,5,0.1,675.180498640053,11.314228689762338,0.968,3.4742244658991694,5.430694349054975,0.998
76,200,1000,50,3,0.05,5,0.1,635.2886216635816,10.858162429773316,0.96,3.7173963710665703,6.816470538017038,0.995
53,100,1000,30,3,0.05,5,0.1,775.840293074958,11.325570697224451,0.977,2.836406603921205,7.305669693098184,0.943
83,200,1000,30,3,0.05,5,0.1,837.4087299220264,12.067678915478773,0.914,3.59960709605366,9.722320194932028,0.832
331,100,1000,10,3,0.05,5,0.1,464.5375249385834,10.327998434467837,0.964,3.305595830082894,9.331997912546868,0.992
306,50,1000,30,3,0.05,5,0.1,801.5982063114643,10.967637130624816,0.938,3.216464631259442,11.109638297223016,0.817
54,30,1000,50,3,0.05,5,0.1,1049.9762015719898,9.78667704782006,0.967,3.3348079272545874,12.421341214043853,0.659
13,50,1000,50,3,0.05,5,0.1,1831.535624720156,13.667056686406422,0.929,2.822405613027513,14.84900517787812,0.614
341,30,1000,30,3,0.05,5,0.1,936.3568660095334,10.351986744403634,0.968,3.3883410543203354,12.29889957975104,0.837
390,50,1000,10,3,0.05,5,0.1,949.7664059512316,10.649726710159092,0.968,3.3296281658113003,12.19811025154847,0.653
26,50,1000,50,3,0.05,5,0.1,866.6960556176491,8.014180869818397,0.962,3.4248983031138778,13.23213412270252,0.927
374,30,1000,30,3,0.05,5,0.1,751.9420618414879,7.2562726985277,0.975,3.4261473417282104,11.580883084891534,0.951
333,50,1000,30,3,0.05,5,0.1,843.3787144199014,12.047741660519934,0.968,3.3301047421991825,14.670997379802202,0.609
61,30,1000,50,3,0.05,5,0.1,1137.620853129309,7.877581860062295,0.968,3.341872800141573,10.493851356373437,0.891
28,50,1000,50,3,0.05,5,0.1,928.511296718847,9.077923152333309,0.947,3.4898242843337357,10.467036428927042,0.961
70,10,1000,50,3,0.05,5,0.1,1788.189071090892,10.424770533839148,0.929,3.2303492398932576,17.697957930611036,0.552
365,10,1000,30,3,0.05,5,0.1,1148.9231728576124,8.905787069125932,0.972,3.1665794365108013,16.84177451378978,0.667
370,100,1000,10,3,0.05,5,0.1,507.6854468397796,10.459139707639803,0.953,3.2951822578907013,4.9592761175491376,0.998
12,100,1000,30,3,0.05,5,0.1,768.9593398249708,9.63948809155326,0.966,3.402410014998168,8.367926536955519,0.986
350,10,1000,30,3,0.05,5,0.1,2060.566210106015,7.492946586438925,0.909,3.2751897014677525,14.710240460432791,0.547
5,50,1000,50,3,0.05,5,0.1,810.933862103615,9.104701637778309,0.961,3.253693614155054,11.702614263158528,0.961
308,50,1000,30,3,0.05,5,0.1,1049.3331659212708,12.07706536849782,0.956,3.6852563321590424,12.861096751483288,0.886
91,100,1000,30,3,0.05,5,0.1,845.5493002012372,10.525160607264908,0.964,3.2628607312217355,6.994322983792989,0.968
41,200,1000,30,3,0.05,5,0.1,641.3104236330837,10.12841696892074,0.951,3.3917530099861324,6.473610676169019,0.995
3,200,1000,10,3,0.05,5,0.1,579.3252005870454,11.692522125385192,0.972,3.2469842047430575,4.6187737267394136,0.991
45,10,1000,50,3,0.05,5,0.1,17532.32457994204,11.952457376080371,0.708,3.3678519860841334,13.739552548449128,0.486
70,100,1000,50,3,0.05,5,0.1,716.779297827743,10.027907621363148,0.961,3.353415876161307,6.596482295911715,0.982
20,30,1000,50,3,0.05,5,0.1,1380.2319574346766,10.063797011068862,0.941,3.1591256484389305,13.276685389522305,0.653
53,200,1000,10,3,0.05,5,0.1,581.066618102137,12.654904990951758,0.979,3.597112271003425,4.861086561047166,0.946
372,50,1000,30,3,0.05,5,0.1,854.3385463915765,7.575438815329477,0.962,3.426438357681036,8.975687171325117,0.985
83,100,1000,10,3,0.05,5,0.1,683.9699090798385,11.451219925070983,0.893,3.1562004941515625,6.348962496425495,0.879
335,30,1000,30,3,0.05,5,0.1,991.741417657584,8.38740356845944,0.964,3.1234694197773933,12.239965121969025,0.957
67,50,1000,50,3,0.05,5,0.1,766.5720003531314,9.27544972359975,0.968,3.4384887483902276,11.751363771563298,0.979
52,50,1000,50,3,0.05,5,0.1,926.0532750748098,7.625835188798837,0.962,3.519985989201814,9.370469665665494,0.974
23,200,1000,50,3,0.05,5,0.1,848.8279998800717,10.156220518567888,0.941,2.7818567641079426,6.866682364120093,0.931
389,10,1000,10,3,0.05,5,0.1,599.0285473130643,8.438738304569405,0.955,3.195267576724291,12.984958299873355,0.922
396,30,1000,10,3,0.05,5,0.1,1425.5080618038774,12.632608426461324,0.948,3.121602676808834,16.78639421757458,0.412
15,30,1000,50,3,0.05,5,0.1,1116.6017612251453,10.0450109510811,0.97,3.090100894216448,14.48624108273025,0.787
347,50,1000,30,3,0.05,5,0.1,993.0565285682678,11.8300249252212,0.952,2.8166718296706676,7.364023420418593,0.902
387,10,1000,10,3,0.05,5,0.1,1165.2038610577583,11.508765076831605,0.957,3.501388516277075,15.7637752231042,0.549
311,10,1000,30,3,0.05,5,0.1,2400.3250460475683,13.740213233714812,0.916,3.17837380990386,17.2802476952793,0.273
349,50,1000,30,3,0.05,5,0.1,955.8379184529184,10.467640048879597,0.959,3.483296662569046,9.069695944426144,0.838
12,200,1000,10,3,0.05,5,0.1,514.2484904350713,9.661773097304849,0.969,3.415218133945018,4.793821145639919,0.998
398,30,1000,10,3,0.05,5,0.1,755.6274214088917,8.74318890433401,0.969,3.469699028879404,10.851797071362435,0.964
31,100,1000,50,3,0.05,5,0.1,803.3083673408255,9.55124085007039,0.963,3.4323144261725247,6.578937111035068,0.988
324,10,1000,30,3,0.05,5,0.1,1629.7052557505667,11.983345652973368,0.955,3.277544990181923,17.73976881740709,0.578
69,50,1000,50,3,0.05,5,0.1,1181.1898238314316,6.905277937213999,0.985,3.4804754592478275,10.834114089127494,0.986
62,200,1000,50,3,0.05,5,0.1,636.6943431356922,12.07322592643786,0.975,3.692357418127358,9.508175202361064,0.997
31,10,1000,50,3,0.05,5,0.1,2381.1348193059675,8.692278670031708,0.943,3.2919415440410376,19.22241806104364,0.372
91,200,1000,10,3,0.05,5,0.1,559.3096730681136,10.468029995793476,0.965,3.541002876125276,4.473768604141454,0.996
41,100,1000,10,3,0.05,5,0.1,701.9680075268261,10.1140099505136,0.95,3.428508843295276,6.108749822398507,0.997
3,100,1000,30,3,0.05,5,0.1,1034.243106791284,8.914371155539252,0.974,3.816980532836169,7.329604289554804,0.88
397,30,1000,10,3,0.05,5,0.1,663.6701288484037,7.841356792834413,0.958,3.5069164857268333,13.172232697783263,0.943
335,100,1000,10,3,0.05,5,0.1,474.7852806299925,8.598583807149543,0.958,3.1180362924933434,5.450657884036409,0.997
87,200,1000,30,3,0.05,5,0.1,553.2714314777404,12.85226802037212,0.957,3.4796454682946205,5.209530724307763,0.983
57,100,1000,30,3,0.05,5,0.1,873.8459160658531,12.303240879600876,0.966,2.8371670292690396,7.5169724608364,0.954
14,30,1000,50,3,0.05,5,0.1,997.0709418337792,9.943274076222565,0.958,3.381216213107109,14.007136062325118,0.839
346,50,1000,30,3,0.05,5,0.1,919.7207915447652,12.560524249037211,0.948,2.8117922954261303,13.800434742256252,0.841
301,30,1000,30,3,0.05,5,0.1,1707.2604378908873,9.25523214203104,0.965,3.3177067935466766,14.394545162270015,0.458
100,100,1000,10,3,0.05,5,0.1,529.1665634629317,7.129067247601979,0.972,2.866473923902958,6.385685601597597,0.998
53,50,1000,50,3,0.05,5,0.1,886.912200964056,12.568214318148154,0.959,2.850795296020806,15.156441364124404,0.501
388,10,1000,10,3,0.05,5,0.1,1346.3716229610145,11.061508826804507,0.957,3.372425604611635,14.82247191906693,0.473
334,30,1000,30,3,0.05,5,0.1,3524.8986471816897,12.65320305807252,0.865,3.396564319729805,14.863599242295251,0.544
66,50,1000,50,3,0.05,5,0.1,1400.0542443990707,12.65897889444922,0.932,3.449292334727943,12.118268523347655,0.665
21,30,1000,50,3,0.05,5,0.1,2488.6235201731324,14.52178043523327,0.945,3.6370383501052856,12.5719036168547,0.472
373,50,1000,30,3,0.05,5,0.1,1054.8872919641435,13.675369047591424,0.928,3.431981336325407,8.296695526282416,0.686
30,10,1000,50,3,0.05,5,0.1,5370.280119659845,11.399419117829265,0.886,3.342853422742337,17.16585156682243,0.475
68,50,1000,50,3,0.05,5,0.1,1294.258484343998,11.213257672924165,0.966,3.116395396180451,10.660757073819791,0.673
16,100,1000,30,3,0.05,5,0.1,1144.361492329277,12.268639560026006,0.928,3.467405271716416,8.123175909078912,0.938
325,10,1000,30,3,0.05,5,0.1,2069.622062012553,11.156842863937335,0.941,3.3139702044427395,16.421694764532706,0.526
348,50,1000,30,3,0.05,5,0.1,1432.8901752494276,10.665468658471257,0.894,3.374201912432909,12.524141138146772,0.561
310,10,1000,30,3,0.05,5,0.1,2460.784311361611,10.283451986187275,0.939,3.4093075953423977,16.37344637600806,0.599
399,30,1000,10,3,0.05,5,0.1,459.0669980980456,8.422162673367296,0.954,3.5565297678112984,10.297199422164107,0.99
386,10,1000,10,3,0.05,5,0.1,878.705189075321,8.021186018167777,0.962,3.1974327377974987,15.039230809312809,0.672
45,200,1000,30,3,0.05,5,0.1,764.6050568008795,13.72583959071759,0.93,3.62611546786502,7.6636239220905775,0.763
95,100,1000,30,3,0.05,5,0.1,866.1183987781405,12.769685038933464,0.966,3.343261525966227,7.511186154162416,0.844
7,200,1000,10,3,0.05,5,0.1,683.2743406519294,12.548048745897493,0.955,3.3487786520272493,5.97563111466409,0.998
87,100,1000,10,3,0.05,5,0.1,504.05562722310424,12.733229455595549,0.959,3.4953953833319247,4.5851321160524385,0.984
332,50,1000,30,3,0.05,5,0.1,1376.4555409923196,13.512380563416556,0.967,3.2286364026367664,8.725353037197449,0.767
57,200,1000,10,3,0.05,5,0.1,585.3164808182046,12.710757585844537,0.963,2.854097436182201,8.45333608970898,0.998
74,100,1000,50,3,0.05,5,0.1,1013.2357090311124,14.083487983228231,0.966,3.4625414479523897,13.74018980037814,0.842
100,200,1000,30,3,0.05,5,0.1,602.6397589342669,6.939869677780957,0.973,3.400725482031703,6.630541604101248,0.998
27,50,1000,50,3,0.05,5,0.1,908.3217976391315,8.093861208151234,0.972,3.4542485801503062,12.761334388762444,0.875
375,30,1000,30,3,0.05,5,0.1,1297.8213246054947,9.574205793540632,0.943,3.1132140308618546,11.470351396546636,0.769
12,50,1000,50,3,0.05,5,0.1,931.7749532228336,8.300268893893897,0.97,3.453644207213074,10.088595693512287,0.913
340,30,1000,30,3,0.05,5,0.1,1068.3506605364382,8.090935923084853,0.968,3.6496315486729145,11.004415560827534,0.873
27,200,1000,50,3,0.05,5,0.1,654.05324187316,9.616674683799744,0.969,3.491735632997006,7.642484151296932,0.997
391,50,1000,10,3,0.05,5,0.1,2480.5012678951025,11.272178200568687,0.867,3.0875944420695305,13.979891369455752,0.567
307,50,1000,30,3,0.05,5,0.1,2158.3782047629356,11.385638944455415,0.934,3.2174621522426605,15.3194253146585,0.558
55,30,1000,50,3,0.05,5,0.1,1278.07955167396,9.648607596462073,0.946,3.402250631712377,14.595437818692252,0.571
44,10,1000,50,3,0.05,5,0.1,1509.3958291830495,8.405089890211624,0.934,3.3728107758797705,20.211962345499803,0.401
309,50,1000,30,3,0.05,5,0.1,1059.8327819630504,9.50893313143985,0.965,3.297712780535221,10.996378485221504,0.882
351,10,1000,30,3,0.05,5,0.1,1495.8238637298346,7.903556089976914,0.973,3.1840335093438625,19.85982640946066,0.56
4,50,1000,50,3,0.05,5,0.1,914.7283926829696,11.45256424614234,0.936,3.8609182089567184,9.56843652781176,0.613
35,100,1000,50,3,0.05,5,0.1,839.3363090399653,13.098315684160154,0.972,3.4926227191463113,11.361424406430546,0.97
16,200,1000,10,3,0.05,5,0.1,723.6601991928183,12.30192183877891,0.942,3.515865216962993,9.498195553250206,0.977
364,10,1000,30,3,0.05,5,0.1,3471.126621749252,12.912859277474483,0.91,3.342207159847021,14.89074291000536,0.544
45,100,1000,10,3,0.05,5,0.1,1024.7259908886626,13.54716548149718,0.933,3.46211721515283,8.160016393048766,0.807
95,200,1000,10,3,0.05,5,0.1,556.4431958021596,12.145140276996058,0.97,2.794004776980728,6.55974818500641,0.975
71,10,1000,50,3,0.05,5,0.1,7209.03152492689,13.058228902296127,0.754,3.6372638773173094,15.118174360082902,0.333
