,CELL_ID,X,Y
2094,2095,1496,1090
2110,2111,1516,1103
1856,1857,1640,971
1817,1818,1619,952
961,962,918,581
951,952,944,575
97,98,1174,104
77,78,1158,82
1686,1687,1876,892
1513,1514,1857,815
1464,1465,1859,794
1851,1852,1807,968
1054,1055,1721,617
1099,1100,1710,637
888,889,1620,543
947,948,1648,570
926,927,1631,562
1012,1013,1705,599
975,976,1665,583
133,134,1184,137
160,161,1198,152
116,117,1180,118
119,120,1200,121
152,153,1130,146
200,201,1162,182
214,215,1107,193
124,125,1063,128
278,279,1148,228
231,232,1143,202
242,243,1121,208
288,289,1127,234
290,291,1166,237
326,327,1156,255
580,581,1483,401
536,537,1472,383
615,616,1494,416
569,570,1463,404
760,761,1278,486
793,794,1270,504
597,598,1213,412
2030,2031,1645,1061
2084,2085,1623,1087
2128,2129,1801,1115
2143,2144,1776,1122
2086,2087,1820,1087
2111,2112,1775,1105
2152,2153,1716,1134
2100,2101,1695,1096
2072,2073,1718,1083
2053,2054,1704,1065
2058,2059,1686,1063
2085,2086,1674,1090
2119,2120,1712,1112
2518,2519,651,1424
2241,2242,1428,1194
2219,2220,1423,1174
2222,2223,1393,1175
2289,2290,1408,1237
2285,2286,1254,1238
2266,2267,1236,1222
2263,2264,1272,1220
2318,2319,1238,1263
2286,2287,1294,1237
2351,2352,1269,1291
2126,2127,1612,1114
1906,1907,1600,994
1895,1896,1628,990
2419,2420,1451,1352
2446,2447,1472,1364
2407,2408,1432,1339
2379,2380,1439,1312
2395,2396,1456,1328
2420,2421,1493,1350
2313,2314,1464,1262
2371,2372,1656,1307
448,449,512,331
411,412,494,312
407,408,512,309
373,374,459,292
341,342,405,266
694,695,505,457
654,655,516,437
688,689,534,454
1138,1139,501,655
1198,1199,491,677
1186,1187,530,674
1089,1090,510,633
1095,1096,433,637
1003,1004,456,597
2476,2477,408,1393
2366,2367,472,1301
2457,2458,570,1375
2524,2525,667,1434
2530,2531,1062,1434
2535,2536,1345,1435
2501,2502,639,1409
2529,2530,621,1433
928,929,801,561
927,928,768,563
972,973,760,584
109,110,970,114
144,145,950,142
150,151,979,145
111,112,943,111
80,81,970,84
120,121,1017,121
217,218,926,196
207,208,911,186
172,173,938,162
140,141,919,138
158,159,893,151
211,212,892,190
2470,2471,613,1387
2453,2454,629,1370
2489,2490,622,1402
2459,2460,585,1376
2472,2473,644,1388
1818,1819,1643,950
1840,1841,1654,963
2229,2230,1447,1180
2177,2178,1471,1145
2146,2147,1462,1124
2131,2132,1492,1116
1656,1657,1840,880
1050,1051,1671,615
1043,1044,1699,613
1002,1003,1681,594
987,988,1651,593
554,555,1232,390
529,530,1213,380
2012,2013,1631,1042
1954,1955,1633,1015
2162,2163,1747,1143
2282,2283,1664,1231
2295,2296,1674,1245
2291,2292,1718,1240
2271,2272,1725,1226
2201,2202,1719,1161
2196,2197,1563,1156
2261,2262,1502,1219
2249,2250,1538,1204
2298,2299,1493,1247
2279,2280,1459,1233
541,542,408,385
491,492,430,357
505,506,399,362
565,566,389,396
556,557,446,391
521,522,467,371
525,526,434,375
572,573,428,400
533,534,486,383
508,509,501,365
493,494,562,357
544,545,592,383
566,567,573,398
625,626,482,421
571,572,490,399
657,658,493,439
685,686,478,453
587,588,533,406
602,603,511,416
548,549,510,388
534,535,538,383
562,563,554,393
2497,2498,392,1408
2408,2409,495,1341
2390,2391,518,1322
2409,2410,533,1342
2385,2386,495,1318
2384,2385,462,1321
2422,2423,571,1348
2514,2515,615,1419
2480,2481,596,1392
2492,2493,573,1400
969,970,785,583
1781,1782,1681,937
1751,1752,1698,914
1782,1783,1717,938
1814,1815,1689,949
1780,1781,1665,938
1833,1834,1675,960
2225,2226,1492,1178
2212,2213,1471,1170
2243,2244,1499,1197
2234,2235,1532,1183
2181,2182,1488,1148
1585,1586,1864,848
1616,1617,1853,861
1556,1557,1852,837
1538,1539,1877,825
1639,1640,1876,869
1572,1573,1879,843
2046,2047,1626,1063
2238,2239,1764,1191
2215,2216,1759,1170
2236,2237,1744,1187
2254,2255,1742,1210
2168,2169,1797,1138
2174,2175,1773,1145
2477,2478,430,1394
2442,2443,428,1360
2456,2457,517,1374
2443,2444,505,1361
