,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 470)",0,0,1,1,0,0,0
"('cell', 597)",0,0,2,1,0,0,0
"('cell', 543)",0,0,1,0,0,0,0
"('cell', 480)",0,0,1,0,0,0,0
"('cell', 16)",0,0,0,0,1,2,1
"('cell', 20)",0,0,0,2,0,0,1
"('cell', 39)",0,0,0,1,0,0,0
"('cell', 35)",0,0,0,1,0,0,1
"('cell', 21)",0,0,0,1,0,0,1
"('cell', 1627)",0,0,3,1,0,4,1
"('cell', 1658)",0,0,1,0,0,6,3
"('cell', 1647)",0,1,3,0,0,4,5
"('cell', 1624)",0,0,0,0,0,1,0
"('cell', 1844)",0,0,0,0,0,1,0
"('cell', 1880)",0,0,0,0,0,1,0
"('cell', 1817)",0,0,0,0,0,1,0
"('cell', 1824)",0,0,0,0,0,1,0
"('cell', 1262)",0,0,4,1,5,2,0
"('cell', 1281)",0,0,2,1,4,2,0
"('cell', 1562)",0,0,0,0,1,0,0
"('cell', 1380)",0,0,1,1,2,1,0
"('cell', 1479)",0,0,0,0,2,1,0
"('cell', 1470)",0,0,0,1,2,1,0
"('cell', 1185)",0,1,2,0,2,1,0
"('cell', 1167)",0,0,1,0,1,1,0
"('cell', 1056)",0,1,2,0,0,0,0
"('cell', 704)",0,0,2,0,0,0,0
"('cell', 637)",0,0,3,1,0,0,0
"('cell', 621)",0,0,2,0,0,0,0
"('cell', 741)",0,0,2,0,0,0,0
"('cell', 802)",0,0,4,0,0,1,0
"('cell', 827)",0,0,3,0,2,0,0
"('cell', 877)",0,0,2,1,2,0,0
"('cell', 848)",0,0,2,0,3,1,0
"('cell', 909)",0,0,2,0,2,0,0
"('cell', 325)",0,0,1,0,1,0,0
"('cell', 357)",0,0,1,0,1,0,0
"('cell', 546)",0,1,0,0,0,0,0
"('cell', 468)",0,0,1,0,0,0,0
"('cell', 490)",0,1,1,0,0,0,0
"('cell', 536)",0,1,0,0,0,0,0
"('cell', 564)",0,1,0,1,0,0,0
"('cell', 649)",0,0,1,0,0,0,0
"('cell', 601)",0,0,1,0,0,0,0
"('cell', 1142)",0,1,0,0,2,2,0
"('cell', 1150)",0,1,0,0,0,2,0
"('cell', 1113)",0,1,1,0,0,0,0
"('cell', 1038)",0,1,0,0,1,1,0
"('cell', 1007)",0,0,0,1,1,0,0
"('cell', 1006)",0,1,0,0,0,0,0
"('cell', 1042)",0,1,0,0,0,1,0
"('cell', 986)",0,1,0,0,0,0,0
"('cell', 892)",0,0,1,1,1,1,0
"('cell', 930)",0,0,1,1,1,0,0
"('cell', 799)",0,0,2,0,5,6,2
"('cell', 222)",0,0,1,0,0,14,0
"('cell', 176)",0,0,0,0,0,12,0
"('cell', 1202)",0,0,1,0,1,3,0
"('cell', 1299)",0,0,0,0,1,1,1
"('cell', 1225)",0,0,1,0,1,2,1
"('cell', 1232)",0,0,0,0,1,2,1
"('cell', 1285)",0,0,0,0,1,1,0
"('cell', 1325)",0,0,0,0,1,0,1
"('cell', 1332)",0,0,0,1,0,0,0
"('cell', 1370)",0,0,0,1,0,0,0
"('cell', 1177)",0,0,1,0,0,2,0
"('cell', 1166)",0,0,0,0,0,1,0
"('cell', 1133)",0,0,0,0,0,2,0
"('cell', 1215)",0,0,1,0,0,3,0
"('cell', 1247)",0,0,1,0,1,1,0
"('cell', 1979)",0,0,2,0,0,0,0
"('cell', 1295)",0,0,0,0,1,0,0
"('cell', 1474)",0,1,0,0,0,0,0
"('cell', 550)",0,0,1,0,0,0,0
"('cell', 515)",0,1,0,0,0,0,0
"('cell', 632)",0,0,1,0,0,0,0
