,ID,K,splsi_chaos,splsi_pas,splsi_morans,splsi_time,plsi_chaos,plsi_pas,plsi_morans,plsi_time,slda_chaos,slda_pas,slda_morans,slda_time
437,Charville_c003_v001_r001_reg022,5,0.9869686446750847,0.8140096618357489,0.6707844259383606,4.815234899520874,0.9889549768292377,0.5700483091787439,0.39217936323657754,0.01538848876953125,0.989525433676971,0.6497584541062802,0.421320780100068,22.410985231399536
438,Charville_c003_v001_r001_reg023,2,0.9898623618630743,0.8577827547592385,0.7343464049177281,17.523808479309082,0.9901713046483916,0.8241881298992162,0.6849181859682549,0.02943277359008789,0.9905867671762766,0.7782754759238522,0.5999401423703487,15.015472173690796
439,Charville_c003_v001_r001_reg023,3,0.9900780128965916,0.8309070548712206,0.717829113249852,18.37518072128296,0.9906651474533792,0.7693169092945129,0.6379060797953994,0.0315098762512207,0.9906517159471128,0.7726763717805152,0.5602538162668186,21.220673084259033
440,Charville_c003_v001_r001_reg023,5,0.9904359196276681,0.7984322508398656,0.7297999060818099,19.081522464752197,0.9912336180404097,0.715565509518477,0.655383635021272,0.03031301498413086,0.9915918702730729,0.6730123180291153,0.5643740008799756,32.93337893486023
441,Charville_c003_v001_r001_reg024,2,0.9888825204084015,0.9431345353675451,0.8354526688825971,13.044416427612305,0.9890258871668153,0.9334257975034674,0.8011388807614411,0.02608036994934082,0.9905153922358314,0.7947295423023578,0.5678252850458061,13.307282447814941
442,Charville_c003_v001_r001_reg024,3,0.989264477017045,0.8918169209431346,0.8027658743609304,12.605322360992432,0.9894824464079515,0.854368932038835,0.7476764275380169,0.027004003524780273,0.9905181728149516,0.7656033287101248,0.6209600633355967,19.477651596069336
443,Charville_c003_v001_r001_reg024,5,0.9899707230266036,0.8085991678224688,0.7203612241202448,12.648353099822998,0.9904067885063073,0.768377253814147,0.6644635953124179,0.028124094009399414,0.9910201664649095,0.6934812760055479,0.6826149642731747,31.294461250305176
444,Charville_c003_v001_r001_reg025,2,0.9917043421072432,0.8781852082038534,0.7561031244461557,12.599027633666992,0.9917759787428584,0.8545680546923555,0.7202067779562289,0.053499460220336914,0.9920974615635887,0.8191423244251088,0.631275236394538,23.976605892181396
445,Charville_c003_v001_r001_reg025,3,0.9922424107644171,0.795525170913611,0.6777885663368071,25.35139536857605,0.9928778119999218,0.7122436295835923,0.5536314880351291,0.05455946922302246,0.9921937805424067,0.7973896830329397,0.5991871141054441,34.89086937904358
446,Charville_c003_v001_r001_reg025,5,0.9926451618905257,0.7327532628962088,0.6096751382344505,29.062790393829346,0.9931690674114391,0.6619018023617154,0.5219934437951083,0.05482029914855957,0.9933241171826485,0.617775015537601,0.5305422017041052,54.77045297622681
