trial,N,n,p,K,vanilla_err,vanilla_acc,splsi_err,splsi_acc,slda_err,slda_acc,time_v,time_splsi,time_slda,spatial_lambd
16,1000,1000,500,3,2.3371755331278914,0.959,2.7135900771865127,0.965,23.28679024341072,0.377,0.1339588165283203,38.95358657836914,85.06981825828552,0.0027143850422634
17,1000,1000,500,3,3.347724461508399,0.909,2.8193962709808607,0.938,24.938388917919852,0.351,0.1346452236175537,23.17242193222046,84.67220497131348,0.0020106555868618
18,1000,1000,500,3,2.7956821394332003,0.885,2.1052879223505205,0.882,24.14543721940016,0.289,0.1341736316680908,26.49964451789856,84.82088255882263,0.0020106555868618
19,1000,1000,500,3,2.831140065834038,0.886,2.241105748312429,0.888,25.037826973851487,0.332,0.1334438323974609,32.22972083091736,84.53891825675964,0.0020106555868618
21,1000,1000,500,3,2.698884333806941,0.976,2.3262271031909525,0.995,25.364441052094044,0.347,0.1315457820892334,30.408093690872192,84.37234616279602,0.0027143850422634
22,1000,1000,500,3,3.0487726136057773,0.876,2.7398984412436715,0.881,25.714367061048726,0.332,0.1334736347198486,27.551440954208378,84.82818055152893,0.0020106555868618
23,1000,1000,500,3,3.3763943985923555,0.939,2.4033431166726227,0.961,23.511219000940944,0.377,0.1335046291351318,25.26789617538452,85.76949071884155,0.0020106555868618
24,1000,1000,500,3,2.468438075840923,0.906,2.119073878569274,0.897,25.551517506162902,0.386,0.1341707706451416,45.40844249725342,84.95598292350769,0.0020106555868618
25,1000,1000,500,3,2.744529473945327,0.883,2.759562351843792,0.909,24.342720046131276,0.341,0.1331264972686767,23.959415197372437,85.27381539344788,0.0020106555868618
26,1000,1000,500,3,3.1344127540938733,0.963,2.808552523471227,0.965,24.10237265541715,0.345,0.1334986686706543,23.795355319976807,85.72324728965759,0.0027143850422634
27,1000,1000,500,3,3.1838085293025156,0.924,1.7791867105981536,0.93,26.44832936660666,0.315,0.1331934928894043,30.853492498397827,85.71626114845276,0.0014893745087865
28,1000,1000,500,3,3.213974685699327,0.969,2.711264007156878,0.995,24.50484403773608,0.383,0.1355044841766357,22.06735920906067,85.05616784095764,0.0027143850422634
29,1000,1000,500,3,3.048266782990847,0.951,2.438447630630262,0.972,24.845927163006053,0.341,0.1330649852752685,31.7353515625,85.80619072914124,0.0027143850422634
30,1000,1000,500,3,2.680913848299185,0.915,2.427207501743538,0.967,24.547164207596055,0.328,0.1336476802825927,29.349275588989254,85.53378820419312,0.0027143850422634
31,1000,1000,500,3,3.9937438460189343,0.992,3.375606041950963,0.993,23.745311313254735,0.346,0.1343255043029785,27.240880727767944,85.6624071598053,0.0014893745087865
32,1000,1000,500,3,2.9474425662943755,0.925,2.258491624207471,0.957,25.856509094283485,0.325,0.1324577331542968,25.80150079727173,85.66207933425903,0.0027143850422634
33,1000,1000,500,3,2.408827430808141,0.936,2.3999604350987975,0.93,26.040651061538647,0.374,0.1344501972198486,22.607545852661133,84.87024307250977,0.0020106555868618
34,1000,1000,500,3,2.7952506454191193,0.982,1.9644709408002932,0.991,25.875818776559072,0.354,0.1342740058898925,22.77927255630493,84.65033674240112,0.0020106555868618
35,1000,1000,500,3,2.624942316968174,0.935,1.9808291903775483,0.996,25.826469085882493,0.358,0.1344025135040283,23.75106167793274,85.03100347518921,0.0020106555868618
36,1000,1000,500,3,3.091315479083503,0.824,2.3482503902207448,0.821,24.463498203250342,0.295,0.1340796947479248,35.469274282455444,85.20360326766968,0.0027143850422634
37,1000,1000,500,3,2.663900589223961,0.96,2.0071590708575813,0.975,25.936770043526973,0.366,0.1344673633575439,22.95190477371216,84.2394757270813,0.0020106555868618
