,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 363)",0,3,1,1,0,0,0
"('cell', 343)",0,3,1,0,0,0,0
"('cell', 328)",0,4,0,0,0,0,0
"('cell', 507)",0,2,0,0,0,0,0
"('cell', 493)",0,2,0,1,0,0,0
"('cell', 529)",0,4,0,0,0,0,0
"('cell', 607)",0,2,3,0,1,4,0
"('cell', 646)",0,3,4,0,0,4,0
"('cell', 575)",0,2,2,1,1,2,0
"('cell', 552)",0,4,0,0,0,3,0
"('cell', 547)",0,6,0,0,0,1,0
"('cell', 489)",0,3,0,0,0,4,0
"('cell', 1707)",0,0,4,0,0,8,0
"('cell', 1410)",0,0,2,0,0,4,0
"('cell', 851)",0,0,5,0,4,5,0
"('cell', 1118)",0,0,5,0,1,2,0
"('cell', 977)",0,1,6,0,0,0,0
"('cell', 944)",0,0,3,0,0,1,0
"('cell', 960)",0,0,5,0,0,1,0
"('cell', 1366)",0,0,5,0,1,4,0
"('cell', 1431)",0,0,3,0,1,5,0
"('cell', 1386)",0,0,3,0,1,3,0
"('cell', 995)",0,1,6,0,0,1,0
"('cell', 1069)",0,1,8,0,0,1,0
"('cell', 1070)",0,1,7,0,0,1,0
"('cell', 92)",0,5,4,0,2,0,0
"('cell', 75)",0,5,2,0,1,0,0
"('cell', 110)",0,5,4,0,1,0,0
"('cell', 131)",0,8,0,0,0,0,0
"('cell', 111)",0,4,0,0,0,0,0
"('cell', 124)",0,8,0,0,0,0,0
"('cell', 159)",0,9,0,0,0,0,0
"('cell', 130)",0,6,0,0,0,0,0
"('cell', 997)",0,1,5,0,1,0,0
"('cell', 969)",0,2,4,0,0,0,0
"('cell', 1675)",0,8,1,0,0,0,0
"('cell', 1706)",0,4,2,0,1,0,0
"('cell', 1743)",0,5,5,0,2,2,0
"('cell', 1732)",0,8,3,0,0,1,0
"('cell', 1740)",0,6,2,0,0,0,0
"('cell', 1587)",0,5,0,0,0,1,0
"('cell', 1511)",0,7,0,0,0,0,0
"('cell', 1479)",0,6,0,0,0,0,0
"('cell', 1401)",0,3,2,0,5,2,0
"('cell', 1711)",0,2,0,0,0,0,0
"('cell', 1672)",0,3,0,0,0,0,0
"('cell', 1676)",0,2,0,0,0,0,0
"('cell', 1712)",0,1,3,1,0,0,0
"('cell', 1748)",0,2,1,0,1,0,0
"('cell', 1671)",0,6,1,0,0,0,0
"('cell', 1653)",0,3,1,0,0,0,0
"('cell', 1704)",0,6,1,0,0,0,0
"('cell', 1718)",0,6,1,0,0,0,0
"('cell', 1289)",0,5,0,0,2,1,0
