src,dst,distance
42,5341,63.953107821277925
42,5521,66.88796603276258
42,6574,51.62363799656123
42,7273,25.0
42,8852,70.3846574190711
43,539,29.410882339705484
43,4032,13.416407864998739
43,10046,32.01562118716424
43,10561,39.56008088970496
43,10686,43.68065933568311
44,6070,59.53990258641679
44,6724,28.635642126552707
44,7563,40.11234224026316
44,8001,30.610455730027933
44,8245,98.37174391053561
44,8513,39.11521443121589
45,7103,27.80287754891569
45,7274,10.770329614269007
45,7580,18.027756377319946
45,7918,55.54277630799526
45,9267,81.05553651663777
45,9283,77.10382610480494
46,60,99.02019995940222
46,3160,141.38246001537814
46,6212,133.41664064126334
46,6237,60.90155991434045
46,6536,72.42237223399962
46,7792,59.21148537234985
46,8062,171.572142260916
47,6712,41.23105625617661
47,7445,29.068883707497267
47,8242,25.495097567963924
47,8472,34.058772731852805
48,6547,50.695167422546305
48,7326,21.633307652783937
48,8221,30.886890422961002
48,8431,76.53757247260981
48,9128,51.24451190127583
49,61,56.36488268416781
49,6130,81.30190649671138
49,6369,64.25729530566937
49,6575,59.0592922409336
49,7998,12.0
49,8319,17.029386365926403
49,8781,119.57006314291216
49,9121,114.38968484964018
50,6201,70.09279563550022
50,7674,34.0147027033899
50,8006,82.02438661763951
50,8729,26.0
50,8730,41.617304093369626
51,6319,90.68627239003708
51,6574,58.0
51,7202,39.35733730830886
51,8688,120.01666550941998
51,8852,79.37883848986453
51,9627,97.3498844375277
51,28437,196.8654362756449
52,7413,29.832867780352597
52,7573,23.194827009486403
52,7706,32.449961479175904
52,8637,46.61544808322666
52,8800,47.41307836451879
53,5741,105.30906893520614
53,7406,73.06161783043132
53,8249,89.1403387922662
53,8303,31.144823004794873
53,8994,106.30145812734649
53,27480,187.128298234126
53,29349,177.02542190318317
54,5104,140.98226838861686
54,6867,92.45539465060976
54,6943,131.0953851209111
54,9270,73.348483283569
54,9384,102.52804494381037
54,9656,45.5411901469428
54,9760,99.12618221237011
55,8452,14.866068747318506
55,8616,13.601470508735444
55,9663,55.80322571321482
55,17303,88.56635930193812
56,6667,202.76587484091104
56,6847,393.605132080363
56,7298,100.80178569846865
56,8040,36.24913792078372
56,8429,106.53168542738823
56,8579,825.0872681116829
56,8624,123.40583454602137
56,9492,922.2391230044408
57,9732,93.04837451562494
57,10783,92.61209424259879
57,11402,67.77905281132217
57,12617,113.84199576606166
57,26296,61.814237842102365
57,28084,66.2872536767062
58,74,78.56844150166147
58,8159,27.16615541441225
58,10136,17.72004514666935
58,14668,212.05895406702354
58,25717,72.56031973468694
59,7718,73.55270219373317
59,8188,34.132096331752024
59,8628,78.64477096412705
59,8762,85.98837130682264
59,9675,119.85407794480753
59,12657,100.57832768544127
60,3160,140.98226838861686
60,7240,117.6860229593982
60,7792,59.135437767890075
60,9419,125.06398362438324
60,11570,115.27792503337315
60,12639,92.02716990106781
60,19082,135.80132547217644
61,8319,51.66236541235796
61,8876,62.6418390534633
61,9121,82.38931969618392
61,9283,79.05694150420949
61,9756,66.94027188471824
61,10207,80.65358020571685
61,13549,93.00537618869137
62,8079,48.25971404805462
62,8355,63.8200595424354
62,8477,46.66904755831214
62,9200,104.17293314484334
62,9681,69.87131027825369
62,14657,122.57650672131263
62,17929,123.97580409095961
62,27779,145.60219778561037
63,10133,30.4138126514911
63,10270,55.02726596879042
63,10641,42.44997055358225
63,11087,52.392747589718944
63,11642,71.78439941937245
63,33245,41.012193308819754
63,33527,43.46262762420146
64,9233,13.152946437965905
64,9744,26.0
64,10622,48.41487374764082
64,10870,55.154328932550705
64,11142,54.62600113499065
64,11414,61.84658438426491
64,32948,42.579337712087536
65,4849,35.510561809129406
65,6268,19.79898987322333
65,10015,18.788294228055936
65,10337,19.235384061671343
66,4030,26.30589287593181
66,4031,29.5296461204668
66,7341,81.21576201698781
66,10685,53.85164807134504
66,10951,41.6293165929973
66,11080,67.47592163134935
67,3172,64.07027391856539
67,9468,78.79086241436883
67,9544,76.55716818169282
67,9599,68.00735254367721
67,17642,45.0
67,18790,35.84689665786984
67,20878,49.678969393496885
67,24819,51.478150704935004
