,K,l1_dist,cos_sim,cos_sim_ratio
69,3,0.011006998196992976,0.9999055823702525,1.0060116493627511
70,3,0.043891421422485234,0.9979431726715585,1.0035421734016463
71,3,0.0267730855377487,0.9992749611289032,1.005031380506305
72,3,0.028695369288789723,0.9990439486084668,1.0054725871609693
73,3,0.03143106612502184,0.9989676484853351,1.0056585771761495
74,3,0.024476044329864458,0.999418533933638,1.005240833861032
75,3,0.03282283191966009,0.999039134347214,1.0053581290762066
76,3,0.03278357189528944,0.9989246116717951,1.0054255594677663
77,3,0.03930644950381348,0.9980353314903159,1.0035220893259582
78,3,0.041487280281665755,0.9979431599971919,1.0036330835988843
79,3,0.0075191491117996695,0.9999474051188519,1.007331765724038
80,3,0.030015552182978935,0.9990800068020077,1.0060574240516635
81,3,0.04769254644778063,0.997816765582845,1.0028684784884747
82,3,0.04995589092109302,0.9973521138780752,1.003388807877885
83,3,0.008634238130248944,0.9999353026382617,1.0065860906338884
84,3,0.028808407472757938,0.9990377253645205,1.0045220170931226
85,3,0.03297066458321061,0.9989776679502578,1.005244077070582
86,3,0.029847749926320017,0.9991698185226685,1.0060137724285816
87,3,0.016917337448389805,0.9997720202625668,1.005564288830194
88,3,0.04406224709984006,0.9978918560185521,1.0028263903124783
89,3,0.04795698909081289,0.9974416403083021,1.0033584702193987
90,3,0.015065567799782692,0.9998364675222907,1.0060723419213689
91,3,0.02913386589799993,0.9991105859776139,1.0055458599317657
92,3,0.024259269025856317,0.999260038323802,1.0051223139572298
93,3,0.02884410248041204,0.9991357666589042,1.0058581967962763
94,3,0.027911760415180814,0.9993396357104092,1.0058099854221307
95,3,0.036530230136353405,0.9987650434556126,1.0042955958045856
96,3,0.023723502861115686,0.9994289295627544,1.006223863148354
97,3,0.04719303183986114,0.9975802490494746,1.003004812836622
98,3,0.010204059753641442,0.9999080234408249,1.0064785562018181
99,3,0.04764864771257029,0.9975054413322423,1.0031584345333386
100,4,0.04521750323502381,0.9979914971843988,1.0044488940701455
101,4,0.028425132027324707,0.9994098258470308,1.006500814714726
102,4,0.040256843461628423,0.998286636306161,1.0050660478244993
103,4,0.056637915844067264,0.9973112081640448,1.0037758364285831
104,4,0.060565913150385106,0.9969939660961871,1.0035413871226317
105,4,0.05308663489770696,0.9976430734043495,1.0040708648526955
106,4,0.021924631744676144,0.9994510021188433,1.0069035359635883
107,4,0.03802997490343023,0.9986274304728617,1.0059537143647048
108,4,0.06594369262910804,0.9963738330298471,1.003270201183928
109,4,0.042819081554110135,0.9979452970360696,1.0050322054837697
110,4,0.03436392403214086,0.9986103131700449,1.0059051761799125
111,4,0.017068716125105493,0.9997583605308402,1.0069594177210983
112,4,0.03213530088448878,0.9986554042750136,1.00576476362542
113,4,0.047628263805968594,0.998011776183156,1.0040507134335857
114,4,0.0350659656163471,0.9986313643763352,1.0060845430110488
115,4,0.047191493164640046,0.9975641801862358,1.005027998186933
116,4,0.04833814496404937,0.9980328982749643,1.0047783304215196
117,4,0.037134505683911856,0.9983646820982927,1.0052416146953538
118,4,0.04969951700701695,0.9978298181482952,1.0037449634069728
119,4,0.046734997259255465,0.9979249751108414,1.0041205652397607
120,4,0.009421963083181491,0.9999199225855656,1.0069013735760397
121,4,0.050259830742256845,0.9972467370382004,1.0053322582954354
122,4,0.05107491214276,0.9977226791895832,1.004463310280435
123,4,0.05555900750112202,0.9971490826687385,1.003570952754039
124,4,0.05277159981432071,0.9973239038517898,1.0050260526371642
125,4,0.050728296352226525,0.9977862018900184,1.0041691706915337
126,4,0.05833982331649868,0.9970197603158641,1.0029858392218025
127,4,0.05144800853351757,0.9973570834164902,1.0051066108915334
128,4,0.05299869421686217,0.9975672833026659,1.0057399991523164
129,4,0.03765652680067616,0.9984599788610902,1.0051032386687935
130,4,0.06424140550275903,0.9965822354631387,1.0031384895470057
131,4,0.02944463419886555,0.9989979206540389,1.0064668713022586
132,4,0.01336878818750064,0.9998751314928279,1.0076456031057481
133,4,0.06670538389550974,0.9962657090215713,1.0026095095763223
134,4,0.05296534672017856,0.9975869417401904,1.0039229949382988
135,4,0.062372315521308105,0.9967736718498432,1.0036155469100316
136,4,0.006279328056170326,0.999964118743476,1.0067088534260684
137,4,0.030085659748561085,0.9990235094544748,1.006552615707224
138,4,0.0529378646981867,0.9976698359516711,1.0038775750345552
139,4,0.06478360883735712,0.9964441667314055,1.0030665822984772
140,4,0.02661049699890736,0.9993968256414401,1.0065394586940613
141,4,0.034980127034607664,0.9988850072579855,1.0064158299168688
142,4,0.06018520537779823,0.9972483074852617,1.0037056053300073
143,4,0.01100851743305288,0.9998916197392587,1.0070255073327
144,4,0.034402610668368666,0.9987453385444505,1.0054047612669939
145,4,0.05110285938920897,0.9978445256450926,1.0045107104288742
146,4,0.026618042054038695,0.999421224260695,1.006333657542588
147,4,0.05593767081121082,0.9970323545016567,1.0040610659030245
148,4,0.03089982212860336,0.999027314279302,1.0063792317870632
149,4,0.06024296493117728,0.9972226103505647,1.0035614326597384
150,5,0.06276274375436816,0.9968428336271963,1.005313627554896
151,5,0.0666165338176045,0.9960908587873203,1.0047684932868375
152,5,0.06588245133132806,0.9965803408858382,1.0052369473641434
153,5,0.035919390924566676,0.9986168787448255,1.0076220445331745
154,5,0.03831659729987176,0.9981506902753748,1.0072758852877437
155,5,0.04761626436653843,0.9979956772375684,1.0075838046607657
156,5,0.07567033660557715,0.9957548030849879,1.004114488960476
157,5,0.048741992234468026,0.9979120870265781,1.007512154490845
158,5,0.0758386260877125,0.9955187461489758,1.004150048435437
159,5,0.07682571528651407,0.9957065520631989,1.0045070209813416
160,5,0.0696114529840205,0.9958966230133101,1.0057079925468135
161,5,0.04753451401286139,0.9976787774619721,1.0065655086309209
162,5,0.07287339914203617,0.9956949276926487,1.0038199784827573
163,5,0.042835912347573515,0.9980612915728709,1.0070351345548245
164,5,0.06651645377821105,0.996168386087421,1.0052245778954325
165,5,0.05026853089336051,0.9975370738834533,1.0065488090435037
166,5,0.07640202865119985,0.995152305319119,1.0042896253251872
167,5,0.05550748783149436,0.9969455135599213,1.004835524873292
168,5,0.05009685742852656,0.9977727605321105,1.006173415850878
169,5,0.060955381562043,0.9967675725261664,1.0047266834125905
170,5,0.04104287699681288,0.9986127678859724,1.007767855370479
171,5,0.06528411588254217,0.996015292489717,1.0053650627972814
172,5,0.056512428857494454,0.997255507295568,1.0054460554359832
173,5,0.07521893718143376,0.9955386382826976,1.0033709011445306
174,5,0.0634986649139753,0.9968222493264246,1.007399105051745
175,5,0.05141319641577633,0.9977203178397984,1.0072623028622802
176,5,0.06531860773012647,0.9965391412799944,1.0051590170787832
177,5,0.06084181999270102,0.9972301123543721,1.0072745061980926
178,5,0.04537569900431908,0.997806950676595,1.0078009362070686
179,5,0.04572393704533595,0.9983583342147245,1.0073588426719455
180,5,0.03279000382614201,0.9982255188447263,1.0083435698380718
181,5,0.05680290579356134,0.996867649309635,1.0061200922802487
182,5,0.03671246247924333,0.9984397738831173,1.008294818555939
183,5,0.04967439115279444,0.9980983714450374,1.0075069370943657
184,5,0.049929681002506776,0.9975588827344707,1.0066539953088371
185,5,0.05303203209760765,0.9970511848111222,1.0060970926950858
186,5,0.05009374776557203,0.9978361382096324,1.0069477717203166
187,5,0.06018860182286586,0.9968457563633502,1.005499434589089
188,5,0.033468613830418256,0.9985968443602395,1.0074653021789808
189,5,0.05412030330016097,0.9970241076833002,1.0056335433785404
190,5,0.055679539871304785,0.9973418969081717,1.0072885148535007
191,5,0.05543183215121576,0.9973333391549067,1.0067082018956415
192,5,0.06141738344771743,0.9966417771407501,1.0057049877748208
193,5,0.052719778691649025,0.9979426264916272,1.0063494954002785
194,5,0.06105739016481465,0.9966006251464025,1.0059589939815763
195,5,0.05539139560074992,0.9972894936899683,1.0070108490652931
196,5,0.06142725814144334,0.9968603916946044,1.0056244559221976
197,5,0.06400450705442226,0.9964531935293828,1.0055555839626942
198,5,0.03964299923306942,0.9981244682398474,1.0064033517349606
199,5,0.05315799855628241,0.9974338154000554,1.0057458360803144
200,6,0.04906281863283176,0.9980578909306098,1.0082765623014296
201,6,0.07332749154673764,0.99609125868388,1.005404832301917
202,6,0.043409157928350185,0.9980115492930164,1.0081033684057965
203,6,0.08057374857015749,0.9953219650715225,1.004946191809872
204,6,0.08313109728691327,0.9946454881943079,1.0044544492084742
205,6,0.030122280884915354,0.9991923903230083,1.0100492411034594
206,6,0.08108121890964133,0.9947411089261825,1.0050046922224003
207,6,0.08400773613662223,0.9945869995271877,1.0044068317732937
208,6,0.022401536772506368,0.9995509120989109,1.0101649959583328
209,6,0.08866798849931423,0.9937304870659692,1.0038181463351248
210,6,0.03672547277970587,0.9987532669108535,1.0101737133739572
211,6,0.053151327225780746,0.9976432025007674,1.0078372096390253
212,6,0.05443556112393729,0.9972231789213045,1.0069273567659616
213,6,0.04423821580558059,0.9981808249396131,1.0082568787416109
214,6,0.0429876355731351,0.9983752026469989,1.0100728681182256
215,6,0.04786845146124367,0.9980836148200026,1.0092767681977872
216,6,0.03419372235279691,0.9988303559349584,1.0103508080727364
217,6,0.06109746236851876,0.9968564298869493,1.0068830669813351
218,6,0.048535622322765475,0.9976447314697728,1.0079453022913079
219,6,0.026377883404508817,0.9993377969478109,1.0094094816836952
220,6,0.05034430096823431,0.9976601557528175,1.0086141063284124
221,6,0.04924377061815035,0.9980185034794714,1.0084577490368025
222,6,0.0679524643566374,0.9959218573151515,1.0057708661029516
223,6,0.03855735015561638,0.998863632712487,1.0092312154899692
224,6,0.03457692252329703,0.9989467033589592,1.0098953265768722
225,6,0.07869508887150234,0.9950733586378004,1.0054822860633137
226,6,0.05129947625226452,0.9978281353409008,1.0083380134508306
227,6,0.08255902464826177,0.9944125419421536,1.0041593445465167
228,6,0.05384128788010493,0.9977518360255148,1.0077991348357138
229,6,0.07287421415036015,0.9953359599241084,1.0051011478178264
230,6,0.04596659458083311,0.997790226354384,1.0083496801140657
231,6,0.04848854844977913,0.9974968602113625,1.0086726831259378
232,6,0.0516976142662739,0.9971413432121574,1.0062372000403805
233,6,0.06190859036566405,0.9968614828729275,1.0075438944815769
234,6,0.0578055441124748,0.9966012934251202,1.0074186415647017
235,6,0.05566005451121988,0.9968508444637872,1.0053870946069794
236,6,0.08280719854096225,0.9949157005654153,1.0048870581691038
237,6,0.0507114533779551,0.9973723230537307,1.0067829795124492
238,6,0.07651336717171685,0.9956109888522381,1.0063071722752404
239,6,0.0622737769740029,0.9966825122103736,1.0056866713001085
240,6,0.0746822486559889,0.9951634977770089,1.0043629109335495
241,6,0.023695711720911696,0.9993983235570078,1.0102433658162038
242,6,0.062396654204066586,0.996784385804018,1.0077330658034778
243,6,0.046038047025562266,0.9973807229661741,1.0083343440248431
244,6,0.07273122787123339,0.9953862845663132,1.0046479173081695
245,6,0.0697104143602365,0.9958256799478796,1.0055615955153698
246,6,0.06725244314929879,0.995658099901124,1.0053985062849795
247,6,0.06370088365677327,0.9967723284423692,1.00761611146459
248,6,0.04583692236266849,0.9980455453348019,1.009164373861844
249,6,0.0535157142724861,0.9975224848317347,1.0088845192894222
